ds,y
2014-01-05,312.91999999999996
2014-01-12,391.81
2014-01-19,450.31
2014-01-26,398.47
2014-02-02,371.95
2014-02-09,474.47
2014-02-16,569.22
2014-02-23,496.15999999999997
2014-03-02,408.385
2014-03-09,357.505
2014-03-16,407.12
2014-03-23,382.58000000000004
2014-03-30,317.32
2014-04-06,316.83
2014-04-13,310.91
2014-04-20,320.09
2014-04-27,338.075
2014-05-04,342.58
2014-05-11,369.355
2014-05-18,356.48
2014-05-25,314.298
2014-06-01,327.37
2014-06-08,353.225
2014-06-15,317.13
2014-06-22,291.21
2014-06-29,363.62
2014-07-06,302.89
2014-07-13,339.09
2014-07-20,287.33
2014-07-27,309.08
2014-08-03,262.53
2014-08-10,311.0
2014-08-17,314.25
2014-08-24,317.58500000000004
2014-08-31,384.475
2014-09-07,337.98900000000003
2014-09-14,422.06
2014-09-21,420.735
2014-09-28,438.39
2014-10-05,532.446
2014-10-12,518.36
2014-10-19,447.5596875
2014-10-26,421.63
2014-11-02,440.89
2014-11-09,467.62
2014-11-16,410.60999999999996
2014-11-23,407.59
2014-11-30,391.35
2014-12-07,420.371
2014-12-14,439.02
2014-12-21,394.64
2014-12-28,603.454
2015-01-04,503.39000000000004
2015-01-11,477.951
2015-01-18,499.95
2015-01-25,519.9780000000001
2015-02-01,455.77
2015-02-08,400.519
2015-02-15,490.676
2015-02-22,477.894
2015-03-01,455.64599999999996
2015-03-08,403.507
2015-03-15,460.487
2015-03-22,469.05
2015-03-29,445.98199999999997
2015-04-05,409.78700000000003
2015-04-12,391.105
2015-04-19,407.818
2015-04-26,398.495
2015-05-03,374.793
2015-05-10,368.92900000000003
2015-05-17,386.633
2015-05-24,304.982
2015-05-31,439.477
2015-06-07,374.61
2015-06-14,362.906
2015-06-21,447.77
2015-06-28,359.637
2015-07-05,376.08
2015-07-12,392.84000000000003
2015-07-19,287.13
2015-07-26,337.34
2015-08-02,349.668
2015-08-09,331.08
2015-08-16,376.001
2015-08-23,386.916
2015-08-30,402.66
2015-09-06,398.52
2015-09-13,443.26199999999994
2015-09-20,370.721
2015-09-27,387.831
2015-10-04,443.391
2015-10-11,583.8109999999999
2015-10-18,632.327
2015-10-25,555.667
2015-11-01,577.973
2015-11-08,547.162
2015-11-15,499.78
2015-11-22,463.202
2015-11-29,419.969
2015-12-06,464.27
2015-12-13,496.983
2015-12-20,410.075
2015-12-27,556.6999999999999
2016-01-03,547.4169999999999
2016-01-10,546.2860000000001
2016-01-17,609.631
2016-01-24,558.5550000000001
2016-01-31,598.744
2016-02-07,538.0409999999999
2016-02-14,570.1610000000001
2016-02-21,490.662
2016-02-28,551.6759999999999
2016-03-06,514.842
2016-03-13,471.84
2016-03-20,545.954
2016-03-27,544.903
2016-04-03,525.6659999999999
2016-04-10,459.404
2016-04-17,520.5353333300001
2016-04-24,401.28400000000005
2016-05-01,480.1736667
2016-05-08,447.82
2016-05-15,433.13
2016-05-22,474.44199999999995
2016-05-29,491.936
2016-06-05,359.829
2016-06-12,471.155
2016-06-19,413.891
2016-06-26,374.21000000000004
2016-07-03,388.876
2016-07-10,370.152
2016-07-17,353.17333333
2016-07-24,325.49699999999996
2016-07-31,377.28
2016-08-07,469.096
2016-08-14,414.9106667
2016-08-21,345.53999999999996
2016-08-28,300.7646667
2016-09-04,359.17800000000005
2016-09-11,477.2
2016-09-18,460.332
2016-09-25,463.322
2016-10-02,612.3960000000001
2016-10-09,613.494
2016-10-16,666.6003333
2016-10-23,506.3276667
2016-10-30,568.215
2016-11-06,462.19566667
2016-11-13,496.16666667
2016-11-20,436.941
2016-11-27,457.493
2016-12-04,494.75699999999995
2016-12-11,501.916
2016-12-18,583.13733333
2016-12-25,458.43399999999997
2017-01-01,790.83716667
2017-01-08,570.0762500029999
2017-01-15,680.875416707
2017-01-22,618.6645832730001
2017-01-29,611.5216666230001
2017-02-05,550.443749957
2017-02-12,334.16249999999997
2017-02-19,236.07800000000003
2017-02-26,363.99899999999997
2017-03-05,371.63
2017-03-12,337.546
2017-03-19,288.944
2017-03-26,306.499
2017-04-02,310.86899999999997
2017-04-09,302.683
2017-04-16,313.814
2017-04-23,290.687
2017-04-30,324.993
2017-05-07,263.736
2017-05-14,319.42199999999997
2017-05-21,325.879
2017-05-28,313.15999999999997
2017-06-04,330.55100000000004
2017-06-11,323.986
2017-06-18,289.829
2017-06-25,284.07
2017-07-02,291.128
2017-07-09,313.43899999999996
2017-07-16,272.972
2017-07-23,314.526
2017-07-30,237.47400000000002
2017-08-06,258.183
2017-08-13,265.67
2017-08-20,290.849
2017-08-27,348.879
2017-09-03,316.74100000000004
2017-09-10,352.53
2017-09-17,353.063
2017-09-24,393.31899999999996
2017-10-01,545.418
2017-10-08,496.674
2017-10-15,398.079
2017-10-22,476.192
2017-10-29,457.538
2017-11-05,388.959
2017-11-12,384.026
2017-11-19,398.40099999999995
2017-11-26,396.118
2017-12-03,406.371
2017-12-10,420.176
2017-12-17,432.656
2017-12-24,312.69
2017-12-31,560.938
